File Name,20200218-knownsamples_run2.pcrd,,,,,,,,,
Created By User,admin,,,,,,,,,
Notes,,,,,,,,,,
ID,,,,,,,,,,
Run Started,02/18/2020 22:31:22 UTC,,,,,,,,,
Run Ended,02/18/2020 23:52:56 UTC,,,,,,,,,
Sample Vol,20,,,,,,,,,
Lid Temp,105,,,,,,,,,
Protocol File Name,CFX_2StepAmp60_EVAGreen+Melt.prcl,,,,,,,,,
Plate Setup File Name,QuickPlate_96 wells_All Channels_white.pltd,,,,,,,,,
Base Serial Number,BR006896,,,,,,,,,
Optical Head Serial Number,788BR07000,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,
,,,,,,,,,,
Well group,All Wells,,,,,,,,,
Amplification step,3,,,,,,,,,
Melt step,5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Well,Target,Content,Replicate,Sample,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,Melt Temperature,Peak Height
A01,RPL5,Unkn-17,17,19,32.9633841077604,NaN,32.8829975589921,0.113683747500545,None,None
A02,SPTN1,Unkn-13,13,57,25.3952468919193,NaN,25.2781621379031,0.165582847076766,None,None
A03,SPTN1,Unkn-09,9,39,35.3848201004307,NaN,35.4603059369609,0.10675309378805,None,None
A04,SPTN1,Unkn-05,5,27,25.4296432022241,NaN,25.2649338882107,0.232934145726965,82.4,1668.50986135638
A05,GSK3B,Unkn-01,1,61,17.7112386201435,NaN,17.6844051287195,0.0379482874975325,81.2,3299.23940164838
A06,TIF3s6B,Unkn-44,44,39,31.7342261911263,NaN,31.6864058041847,0.0676282397706751,81.6,2827.5762107787
A07,TIF3s6B,Unkn-37,37,27,18.0591754734567,NaN,18.0343039474274,0.0351736494275028,81.4,2653.12519720502
A08,RPL5,Unkn-33,33,61,18.7314261190437,NaN,18.6004452564413,0.185234912303658,None,None
A09,RPL5,Unkn-29,29,54,29.5111591318111,NaN,29.7403031511479,0.324058579882786,None,None
A10,RPL5,Unkn-25,25,31,19.4617149677776,NaN,19.4623708751592,0.000927593114733376,None,None
A12,TIF3s6B,Unkn-41,41,57,16.7208106553915,NaN,16.5485608127206,0.243598063621865,81.4,2275.72364928789
B01,RPL5,Unkn-17,17,19,32.8026110102238,NaN,32.8829975589921,0.113683747500545,None,None
B02,SPTN1,Unkn-13,13,57,25.161077383887,NaN,25.2781621379031,0.165582847076766,83.6,1983.33075708068
B03,SPTN1,Unkn-09,9,39,35.535791773491,NaN,35.4603059369609,0.10675309378805,None,None
B04,SPTN1,Unkn-05,5,27,25.1002245741973,NaN,25.2649338882107,0.232934145726965,82.4,2145.37480126229
B05,GSK3B,Unkn-01,1,61,17.6575716372956,NaN,17.6844051287195,0.0379482874975325,81.2,3673.17090062296
B06,TIF3s6B,Unkn-44,44,39,31.6385854172432,NaN,31.6864058041847,0.0676282397706751,81.4,2842.16141146652
B07,TIF3s6B,Unkn-37,37,27,18.0094324213981,NaN,18.0343039474274,0.0351736494275028,81.4,2730.33115622729
B08,RPL5,Unkn-33,33,61,18.4694643938389,NaN,18.6004452564413,0.185234912303658,None,None
B09,RPL5,Unkn-29,29,54,29.9694471704847,NaN,29.7403031511479,0.324058579882786,None,None
B10,RPL5,Unkn-25,25,31,19.4630267825409,NaN,19.4623708751592,0.000927593114733376,None,None
B12,TIF3s6B,Unkn-41,41,57,16.3763109700497,NaN,16.5485608127206,0.243598063621865,81.4,2671.05966682473
C01,RPL5,Unkn-18,18,21,31.4251798439942,NaN,31.0570567660894,0.520604649395505,None,None
C02,SPTN1,Unkn-14,14,59,32.3159536451823,NaN,32.3527394808329,0.0520230276802879,None,None
C03,SPTN1,Unkn-10,10,43,31.9005517341479,NaN,32.1588202304496,0.365246810203597,None,None
C04,SPTN1,Unkn-06,6,28,32.4430648221035,NaN,32.4074882215087,0.0503129110643841,78.4,1927.27919311054
C05,GSK3B,NTC,,H2O,33.5256044230676,NaN,33.5256044230676,0,81.2,3483.46509059723
C06,TIF3s6B,Unkn-45,45,43,22.7852815967849,NaN,22.8025497930805,0.024420917398938,80.8,3406.29424295966
C07,TIF3s6B,Unkn-38,38,28,31.822192906818,NaN,30.3287784928313,2.11200691850352,82.2,2088.42060332677
C08,RPL5,NTC,,H2O,36.3282194839565,NaN,36.3282194839565,0,None,None
C09,RPL5,Unkn-30,30,55,26.238906318435,NaN,26.1792982805894,0.0842984955476527,82.6,1646.26829248036
C10,RPL5,Unkn-26,26,37,35.386661897515,NaN,34.8550405010489,0.751826188930138,None,None
C12,TIF3s6B,Unkn-42,42,59,24.1875508392716,NaN,24.2624266998147,0.105890457474439,81.6,2853.24302069186
D01,RPL5,Unkn-18,18,21,30.6889336881846,NaN,31.0570567660894,0.520604649395505,None,None
D02,SPTN1,Unkn-14,14,59,32.3895253164835,NaN,32.3527394808329,0.0520230276802879,None,None
D03,SPTN1,Unkn-10,10,43,32.4170887267514,NaN,32.1588202304496,0.365246810203597,78.2,1873.19395636165
D04,SPTN1,Unkn-06,6,28,32.3719116209138,NaN,32.4074882215087,0.0503129110643841,78.4,1718.59690502964
D05,GSK3B,NTC,,H2O,33.412759470894,NaN,33.412759470894,0,81,4833.12874596828
D06,TIF3s6B,Unkn-45,45,43,22.8198179893761,NaN,22.8025497930805,0.024420917398938,80.8,3310.0086942224
D07,TIF3s6B,Unkn-38,38,28,28.8353640788445,NaN,30.3287784928313,2.11200691850352,82.2,5728.21284882096
D08,RPL5,NTC,,H2O,35.1683835679176,NaN,35.1683835679176,0,None,None
D09,RPL5,Unkn-30,30,55,26.1196902427438,NaN,26.1792982805894,0.0842984955476527,82.6,1819.01848737402
D10,RPL5,Unkn-26,26,37,34.3234191045828,NaN,34.8550405010489,0.751826188930138,None,None
D12,TIF3s6B,Unkn-42,42,59,24.3373025603578,NaN,24.2624266998147,0.105890457474439,81.6,2570.55959501039
E01,RPL5,Unkn-19,19,27,19.086216891226,NaN,19.1123234784804,0.0369202897624368,None,None
E02,SPTN1,Unkn-15,15,61,24.4677849451287,NaN,24.3399876267681,0.180732700860512,82.2,1920.90820860025
E03,SPTN1,Unkn-11,11,54,35.2231627148225,NaN,35.327418372456,0.147439764979334,None,None
E04,SPTN1,Unkn-07,7,31,25.07281875367,NaN,25.0129223372348,0.0847063244602811,81.8,1998.22814641665
E05,19,Unkn-03,3,,36.6615203573549,NaN,36.5633979043554,0.138766103805226,None,None
E06,TIF3s6B,Unkn-46,46,54,26.6240270555984,NaN,26.5942492722832,0.0421121450217838,81.2,3740.6234129988
E07,TIF3s6B,Unkn-39,39,31,17.1121959554737,NaN,17.0703102666834,0.0592353091565685,81.4,3388.42346614125
E08,TIF3s6B,Unkn-35,35,19,29.8650138997978,NaN,30.0307901955639,0.234443085792436,81.4,4191.06656468868
E09,RPL5,Unkn-31,31,57,18.7945002742341,NaN,19.2731289409583,0.676883151821946,None,None
E10,RPL5,Unkn-27,27,39,31.7371840404297,NaN,31.968687924488,0.327395932577292,None,None
E12,TIF3s6B,Unkn-43,43,61,19.7269839991126,NaN,18.004252030064,2.43631091496222,None,None
F01,RPL5,Unkn-19,19,27,19.1384300657348,NaN,19.1123234784804,0.0369202897624368,None,None
F02,SPTN1,Unkn-15,15,61,24.2121903084075,NaN,24.3399876267681,0.180732700860512,82.2,2182.93871512935
F03,SPTN1,Unkn-11,11,54,35.4316740300894,NaN,35.327418372456,0.147439764979334,None,None
F04,SPTN1,Unkn-07,7,31,24.9530259207995,NaN,25.0129223372348,0.0847063244602811,82,1983.90873475544
F05,19,Unkn-03,3,,36.4652754513559,NaN,36.5633979043554,0.138766103805226,None,None
F06,TIF3s6B,Unkn-46,46,54,26.564471488968,NaN,26.5942492722832,0.0421121450217838,81.2,3936.16035467022
F07,TIF3s6B,Unkn-39,39,31,17.0284245778931,NaN,17.0703102666834,0.0592353091565685,81.4,3420.60459681278
F08,TIF3s6B,Unkn-35,35,19,30.1965664913301,NaN,30.0307901955639,0.234443085792436,81.4,4063.4209276226
F09,RPL5,Unkn-31,31,57,19.7517576076825,NaN,19.2731289409583,0.676883151821946,None,None
F10,RPL5,Unkn-27,27,39,32.2001918085463,NaN,31.968687924488,0.327395932577292,None,None
F12,TIF3s6B,Unkn-43,43,61,16.2815200610154,NaN,18.004252030064,2.43631091496222,81.4,3132.44235913982
G01,RPL5,Unkn-20,20,28,30.1049038450521,NaN,30.2464243971036,0.200140284065751,None,None
G02,SPTN1,NTC,,H2O,36.0216840859488,NaN,36.0216840859488,0,None,None
G03,SPTN1,Unkn-12,12,55,34.3396947998391,NaN,35.0473330562479,1.00075161946736,None,None
G04,SPTN1,Unkn-08,8,37,34.6900445968088,NaN,36.1740621386935,2.09871773453282,None,None
G05,SPTN1,Unkn-04,4,21,31.9098289739767,NaN,32.3432030884175,0.612883550223532,None,None
G06,TIF3s6B,Unkn-47,47,55,23.4059203132563,NaN,23.4518256569582,0.064919959648731,81.2,4111.13637798666
G07,TIF3s6B,Unkn-40,40,37,31.5694219418557,NaN,31.8353108435934,0.376023690921935,81.2,2647.08813478592
G08,TIF3s6B,Unkn-36,36,21,30.1433361284908,NaN,30.1848478696482,0.0587064673424841,81.8,3206.48023635121
G09,RPL5,Unkn-32,32,59,26.0520535960472,NaN,26.070864697248,0.0266029144412966,None,None
G10,RPL5,Unkn-28,28,43,25.1112586319178,NaN,25.2000964249685,0.12563561178369,None,None
G12,TIF3s6B,NTC,,H2O,33.0531106451045,NaN,33.0531106451045,0,81.2,4040.47227307196
H01,RPL5,Unkn-20,20,28,30.3879449491551,NaN,30.2464243971036,0.200140284065751,None,None
H02,SPTN1,NTC,,H2O,36.7290583138037,NaN,36.7290583138037,0,None,None
H03,SPTN1,Unkn-12,12,55,35.7549713126567,NaN,35.0473330562479,1.00075161946736,None,None
H04,SPTN1,Unkn-08,8,37,37.6580796805781,NaN,36.1740621386935,2.09871773453282,None,None
H05,SPTN1,Unkn-04,4,21,32.7765772028582,NaN,32.3432030884175,0.612883550223532,None,None
H06,TIF3s6B,Unkn-47,47,55,23.4977310006602,NaN,23.4518256569582,0.064919959648731,81.4,3857.3522366123
H07,TIF3s6B,Unkn-40,40,37,32.1011997453311,NaN,31.8353108435934,0.376023690921935,81.6,3066.88168509972
H08,TIF3s6B,Unkn-36,36,21,30.2263596108056,NaN,30.1848478696482,0.0587064673424841,81.6,3151.96655133446
H09,RPL5,Unkn-32,32,59,26.0896757984488,NaN,26.070864697248,0.0266029144412966,None,None
H10,RPL5,Unkn-28,28,43,25.2889342180193,NaN,25.2000964249685,0.12563561178369,None,None
H12,TIF3s6B,NTC,,H2O,28.9958120440113,NaN,28.9958120440113,0,81.2,2913.60509624044
